Time,Extension,Load,
3.72,0.44396,1.55944,
3.74,0.44606,1.59996,
3.76,0.4482,1.65519,
3.78,0.45068,1.71972,
3.8,0.45339,1.76202,
3.82,0.45607,1.77577,
3.84,0.45854,1.77356,
3.86,0.46068,1.78225,
3.88,0.46263,1.79344,
3.9,0.46474,1.83828,
3.92,0.46723,1.90255,
3.94,0.46996,1.94957,
3.96,0.4727,1.96374,
3.98,0.47515,1.97513,
4,0.47731,2.0035,
4.02,0.47953,1.99021,
4.04,0.48206,2.01787,
4.06,0.48475,2.01854,
4.08,0.48734,2.02011,
4.1,0.4897,2.05151,
4.12,0.49176,2.08867,
4.14,0.49369,2.11976,
4.16,0.49585,2.13482,
4.18,0.49842,2.1465,
4.2,0.50122,2.16849,
4.22,0.50398,2.23284,
4.24,0.50639,2.2349,
4.26,0.50849,2.22109,
4.28,0.51071,2.24822,
4.3,0.51326,2.26527,
4.32,0.51594,2.28235,
4.34,0.51853,2.29725,
4.36,0.5209,2.29899,
4.38,0.52297,2.31492,
4.4,0.52494,2.3522,
4.42,0.52714,2.38848,
4.44,0.52971,2.40259,
4.46,0.5325,2.37882,
4.48,0.53522,2.3661,
4.5,0.53758,2.37729,
4.52,0.53967,2.39064,
4.54,0.5419,2.40876,
4.56,0.54447,2.39532,
4.58,0.54716,2.39763,
4.6,0.54976,2.35408,
4.62,0.55213,2.24762,
4.64,0.55417,2.28904,
4.66,0.55614,2.34362,
4.68,0.55835,2.47806,
4.7,0.56093,2.33354,
4.72,0.5637,2.40098,
4.74,0.56638,2.36694,
4.76,0.56871,2.42818,
4.78,0.57079,2.42404,
4.8,0.57307,2.53271,
4.82,0.57569,2.52272,
4.84,0.57843,2.46469,
4.86,0.58103,2.4224,
4.88,0.58333,2.45859,
4.9,0.5853,2.4594,
4.92,0.58724,2.49716,
4.94,0.58947,2.52761,
4.96,0.59208,2.59214,
4.98,0.59489,2.50901,
5,0.59758,2.53243,
5.02,0.59991,2.57836,
5.04,0.60202,2.64115,
5.06,0.60433,2.59972,
5.08,0.60693,2.64954,
5.1,0.60959,2.69359,
5.12,0.61212,2.7407,
5.14,0.6144,2.69033,
5.16,0.61641,2.69878,
5.18,0.6184,2.70256,
5.2,0.62071,2.68968,
5.22,0.62336,2.72707,
5.24,0.62615,2.74876,
5.26,0.62879,2.75135,
5.28,0.63106,2.74488,
5.3,0.63315,2.77865,
5.32,0.63547,2.7895,
5.34,0.63811,2.81264,
5.36,0.64081,2.80983,
5.38,0.64339,2.77646,
5.4,0.64566,2.78633,
5.42,0.64764,2.77731,
5.44,0.64964,2.82554,
5.46,0.65196,2.85376,
5.48,0.6546,2.88017,
5.5,0.65735,2.83044,
5.52,0.65995,2.78241,
5.54,0.6622,2.79484,
5.56,0.66435,2.79682,
5.58,0.66673,2.83037,
5.6,0.66936,2.88703,
5.62,0.67201,2.94508,
5.64,0.67454,2.92919,
5.66,0.67679,2.90195,
5.68,0.67877,2.90827,
5.7,0.68081,2.92653,
5.72,0.68318,2.92457,
5.74,0.68587,2.92184,
5.76,0.68863,2.90347,
5.78,0.69117,2.93556,
5.8,0.69338,2.99514,
5.82,0.69553,3.04238,
5.84,0.69795,3.01988,
5.86,0.70063,2.96504,
5.88,0.70332,2.95291,
5.9,0.70585,2.95666,
5.92,0.70806,2.97243,
5.94,0.71,3.02999,
5.96,0.71204,3.05818,
5.98,0.71444,3.03657,
6,0.71715,3.04032,
6.02,0.7199,3.09499,
6.04,0.72241,3.11299,
6.06,0.72461,3.13139,
6.08,0.72676,3.14135,
6.1,0.72918,3.15287,
6.12,0.73181,3.1939,
6.14,0.73445,3.20339,
6.16,0.73697,3.22061,
6.18,0.7392,3.22772,
6.2,0.74117,3.23487,
6.22,0.74324,3.23786,
6.24,0.74565,3.26052,
6.26,0.74832,3.28011,
6.28,0.75103,3.30009,
6.3,0.75352,3.30338,
6.32,0.75569,3.31913,
6.34,0.75785,3.27913,
6.36,0.76032,3.25879,
6.38,0.763,3.30961,
6.4,0.76567,3.32423,
6.42,0.76816,3.27547,
6.44,0.77032,3.27062,
6.46,0.77226,3.29983,
6.48,0.77435,3.33698,
6.5,0.77681,3.34347,
6.52,0.77951,3.34335,
6.54,0.78222,3.31378,
6.56,0.78467,3.30166,
6.58,0.78684,3.30449,
6.6,0.78904,3.34436,
6.62,0.79153,3.36304,
6.64,0.7942,3.40639,
6.66,0.79685,3.42552,
6.68,0.79933,3.42815,
6.7,0.8015,3.43781,
6.72,0.80347,3.47029,
6.74,0.80561,3.48358,
6.76,0.80812,3.47737,
6.78,0.81084,3.48003,
6.8,0.81352,3.48122,
6.82,0.81593,3.48142,
6.84,0.81807,3.4928,
6.86,0.82028,3.53628,
6.88,0.82281,3.5382,
6.9,0.8255,3.54962,
6.92,0.82811,3.56821,
6.94,0.83052,3.55143,
6.96,0.83261,3.56452,
6.98,0.83457,3.57423,
7,0.83676,3.58676,
7.02,0.83934,3.57703,
7.04,0.8421,3.58116,
7.06,0.84479,3.62682,
7.08,0.84717,3.6269,
7.1,0.8493,3.63879,
7.12,0.85152,3.65435,
7.14,0.85404,3.67009,
7.16,0.8567,3.6686,
7.18,0.85931,3.70728,
7.2,0.86173,3.70029,
7.22,0.86383,3.67741,
7.24,0.86582,3.71657,
7.26,0.86805,3.72279,
7.28,0.87063,3.73492,
7.3,0.87337,3.73318,
7.32,0.87601,3.70999,
7.34,0.87832,3.71445,
7.36,0.88041,3.75505,
7.38,0.88266,3.79536,
7.4,0.88523,3.82162,
7.42,0.88792,3.80531,
7.44,0.89054,3.76093,
7.46,0.89294,3.69517,
7.48,0.895,3.67918,
7.5,0.89695,3.7104,
7.52,0.89916,3.72052,
7.54,0.90173,3.7413,
7.56,0.90447,3.71364,
7.58,0.90714,3.73341,
7.6,0.90948,3.76071,
7.62,0.91161,3.75998,
7.64,0.91389,3.70648,
7.66,0.91645,3.70154,
7.68,0.9191,3.7051,
7.7,0.92168,3.7362,
7.72,0.92402,3.72147,
7.74,0.92605,3.73166,
7.76,0.92803,3.75433,
7.78,0.93031,3.75643,
7.8,0.93296,3.74564,
7.82,0.93575,3.7453,
7.84,0.93841,3.76106,
7.86,0.94071,3.77448,
7.88,0.94283,3.7754,
7.9,0.94512,3.77847,
7.92,0.94768,3.78802,
